,IdM,NombreM,DescripcionM,EstadoM
5216,M00005217,Artes,Quia officiis asperiores itaque fuga.,Inactivo
5217,M00005218,Educación SocioEmocional,Asperiores asperiores eius.,Inactivo
5218,M00005219,Pensamiento Matemáico,Libero necessitatibus dolor iusto distinctio occaecati nesciunt maiores.,Activo
5219,M00005220,Exploración y Comprensión del mundo natural y social,Voluptate aut totam.,Activo
5220,M00005221,Educación SocioEmocional,Ipsa quo illo repudiandae.,Inactivo
5221,M00005222,Educación SocioEmocional,Voluptatibus aut dicta ipsa.,Activo
5222,M00005223,Exploración y Comprensión del mundo natural y social,Eum architecto quisquam vel dolorem omnis temporibus.,Inactivo
5223,M00005224,Educación Fisica,Ducimus necessitatibus hic repellendus ullam itaque.,Activo
5224,M00005225,Lenguaje y Comunicación,Vitae non dolor iusto.,Activo
5225,M00005226,Pensamiento Matemáico,Molestias quia rerum cum ea velit expedita.,Activo
5226,M00005227,Artes,Tempore labore quisquam fugiat minus beatae asperiores.,Activo
5227,M00005228,Educación SocioEmocional,Nemo temporibus illo.,Inactivo
5228,M00005229,Lenguaje y Comunicación,Beatae maiores sequi pariatur placeat sed.,Activo
5229,M00005230,Lenguaje y Comunicación,Nobis omnis culpa aliquid.,Inactivo
5230,M00005231,Educación SocioEmocional,Architecto vel fuga voluptatibus.,Inactivo
5231,M00005232,Educación Fisica,Esse itaque optio ea commodi dolorum ipsum doloremque.,Activo
5232,M00005233,Artes,Culpa rem atque voluptate tempore.,Inactivo
5233,M00005234,Lenguaje y Comunicación,At magni excepturi necessitatibus.,Activo
5234,M00005235,Artes,Facere voluptate eveniet ex cum.,Activo
5235,M00005236,Artes,Quisquam rem eveniet ea.,Activo
5236,M00005237,Educación Fisica,Officiis dolor optio esse.,Activo
5237,M00005238,Exploración y Comprensión del mundo natural y social,Minus dignissimos odit corporis quo.,Activo
5238,M00005239,Artes,Amet ea sequi repellendus.,Activo
5239,M00005240,Pensamiento Matemáico,Suscipit laborum facere odit optio cupiditate.,Activo
5240,M00005241,Exploración y Comprensión del mundo natural y social,Sint quos ipsum impedit.,Inactivo
5241,M00005242,Artes,Rem harum nemo molestias sed possimus.,Activo
5242,M00005243,Artes,Consectetur qui reprehenderit itaque dolorum ducimus inventore.,Activo
5243,M00005244,Exploración y Comprensión del mundo natural y social,Accusantium excepturi saepe ipsa illo doloribus.,Inactivo
5244,M00005245,Artes,Quisquam quibusdam voluptates molestias debitis.,Activo
5245,M00005246,Lenguaje y Comunicación,Veniam odit nobis dicta consequuntur pariatur.,Inactivo
5246,M00005247,Educación SocioEmocional,Repellendus vero quos possimus neque.,Activo
5247,M00005248,Pensamiento Matemáico,Magnam modi aperiam ex beatae velit beatae.,Activo
5248,M00005249,Exploración y Comprensión del mundo natural y social,Ea suscipit consequuntur eaque facilis nulla quisquam.,Activo
5249,M00005250,Pensamiento Matemáico,Eaque odit doloribus pariatur explicabo.,Activo
5250,M00005251,Exploración y Comprensión del mundo natural y social,Repellendus quidem illum mollitia.,Inactivo
5251,M00005252,Lenguaje y Comunicación,Repellendus quod nisi.,Activo
5252,M00005253,Educación Fisica,Voluptas tempore laudantium optio odit totam nihil.,Activo
5253,M00005254,Artes,Architecto expedita ab reiciendis non quisquam.,Activo
5254,M00005255,Artes,Eos consectetur eligendi quisquam praesentium voluptatibus.,Activo
5255,M00005256,Educación Fisica,Unde illo rerum optio repellendus cum ex.,Inactivo
5256,M00005257,Educación Fisica,Molestiae tempora voluptate fugit vel voluptate.,Activo
5257,M00005258,Artes,In labore qui.,Activo
5258,M00005259,Exploración y Comprensión del mundo natural y social,Cumque quo ad nam omnis.,Activo
5259,M00005260,Lenguaje y Comunicación,Facere ullam incidunt sapiente maiores autem esse.,Activo
5260,M00005261,Pensamiento Matemáico,Est totam minima distinctio.,Activo
5261,M00005262,Pensamiento Matemáico,Eius itaque hic cum sed.,Activo
5262,M00005263,Lenguaje y Comunicación,Labore suscipit magnam rerum doloremque qui sapiente.,Activo
5263,M00005264,Educación SocioEmocional,Nostrum nesciunt possimus tempora mollitia quis id.,Activo
5264,M00005265,Educación SocioEmocional,Provident magni nesciunt autem voluptatum.,Activo
5265,M00005266,Educación SocioEmocional,Excepturi odit architecto veritatis.,Activo
5266,M00005267,Educación SocioEmocional,Velit nobis quidem vel numquam officiis.,Inactivo
5267,M00005268,Lenguaje y Comunicación,Mollitia commodi impedit asperiores aperiam voluptate facilis.,Inactivo
5268,M00005269,Educación SocioEmocional,Assumenda modi cumque neque accusantium.,Inactivo
5269,M00005270,Artes,Unde earum quam cumque cupiditate.,Inactivo
5270,M00005271,Artes,Ullam ad praesentium dicta culpa repellendus magnam eos.,Activo
5271,M00005272,Lenguaje y Comunicación,Et sequi quaerat exercitationem et eius quaerat sunt.,Inactivo
5272,M00005273,Pensamiento Matemáico,Sequi maxime beatae quas ipsum sint.,Inactivo
5273,M00005274,Educación Fisica,Harum sequi doloribus unde maxime quisquam sint.,Inactivo
5274,M00005275,Lenguaje y Comunicación,Saepe laudantium unde.,Inactivo
5275,M00005276,Educación Fisica,Tempore corporis ducimus culpa facere placeat.,Inactivo
5276,M00005277,Exploración y Comprensión del mundo natural y social,Reprehenderit fugit impedit quidem deleniti earum.,Activo
5277,M00005278,Pensamiento Matemáico,Quod deserunt corrupti consequatur esse.,Activo
5278,M00005279,Exploración y Comprensión del mundo natural y social,Alias perferendis pariatur.,Activo
5279,M00005280,Exploración y Comprensión del mundo natural y social,Aut officiis occaecati atque fugiat assumenda hic.,Activo
5280,M00005281,Lenguaje y Comunicación,Enim ab fugiat quae.,Inactivo
5281,M00005282,Educación SocioEmocional,Excepturi ratione occaecati praesentium facere dolor ratione.,Activo
5282,M00005283,Lenguaje y Comunicación,Nisi ex quasi voluptatum natus explicabo.,Inactivo
5283,M00005284,Exploración y Comprensión del mundo natural y social,Beatae commodi libero corporis a nemo.,Activo
5284,M00005285,Exploración y Comprensión del mundo natural y social,Velit omnis beatae mollitia dolorem aut.,Inactivo
5285,M00005286,Exploración y Comprensión del mundo natural y social,Molestias eaque dolores dolorem suscipit dolores.,Activo
5286,M00005287,Artes,Tempore quae cupiditate.,Activo
5287,M00005288,Exploración y Comprensión del mundo natural y social,Et ipsam blanditiis aliquid accusantium.,Activo
5288,M00005289,Educación SocioEmocional,Magnam eaque cupiditate fuga.,Activo
5289,M00005290,Exploración y Comprensión del mundo natural y social,Porro impedit explicabo sed.,Inactivo
5290,M00005291,Pensamiento Matemáico,Explicabo corrupti culpa qui facere voluptatem.,Activo
5291,M00005292,Artes,Expedita voluptatem eos consequatur dolorem fugiat cumque.,Activo
5292,M00005293,Educación SocioEmocional,Vel rerum ullam explicabo odio.,Activo
5293,M00005294,Pensamiento Matemáico,Minus dolorum quas consequatur labore tempore dolorum sunt.,Inactivo
5294,M00005295,Educación SocioEmocional,Laboriosam fugit ullam ut.,Activo
5295,M00005296,Educación SocioEmocional,Cupiditate deleniti nobis similique dolor pariatur rerum.,Activo
5296,M00005297,Educación SocioEmocional,Placeat ab tenetur aliquam porro corrupti.,Activo
5297,M00005298,Exploración y Comprensión del mundo natural y social,Velit ipsum ex suscipit dolorem ipsa et amet.,Activo
5298,M00005299,Exploración y Comprensión del mundo natural y social,Harum aperiam nam minima.,Inactivo
5299,M00005300,Exploración y Comprensión del mundo natural y social,Exercitationem minima id.,Activo
5300,M00005301,Lenguaje y Comunicación,Distinctio eum ducimus iusto quos quae eaque.,Inactivo
5301,M00005302,Exploración y Comprensión del mundo natural y social,Odit placeat rem numquam mollitia.,Inactivo
5302,M00005303,Lenguaje y Comunicación,Unde odio eum quos dignissimos.,Inactivo
5303,M00005304,Artes,Quidem nihil quas.,Activo
5304,M00005305,Pensamiento Matemáico,Voluptas inventore blanditiis eius sapiente quas dolorum.,Inactivo
5305,M00005306,Artes,Nulla cupiditate consectetur facere sapiente modi.,Inactivo
5306,M00005307,Educación Fisica,Labore nulla ea quidem quas ducimus ullam.,Inactivo
5307,M00005308,Pensamiento Matemáico,Cupiditate eaque quo.,Activo
5308,M00005309,Artes,Laborum quis recusandae distinctio commodi totam.,Activo
5309,M00005310,Educación Fisica,Optio velit quidem vel sapiente.,Activo
5310,M00005311,Educación SocioEmocional,Similique quasi odio nam nemo rerum quae harum.,Activo
5311,M00005312,Educación Fisica,Quibusdam blanditiis odio blanditiis.,Activo
5312,M00005313,Lenguaje y Comunicación,Commodi dolorem autem similique ex quaerat deleniti.,Activo
5313,M00005314,Pensamiento Matemáico,Deserunt facere animi pariatur pariatur.,Inactivo
5314,M00005315,Pensamiento Matemáico,Quisquam ea vel culpa dolor deserunt illo assumenda.,Inactivo
5315,M00005316,Artes,A commodi dolores maiores laudantium.,Inactivo
5316,M00005317,Artes,Debitis animi ullam fugiat aut.,Activo
5317,M00005318,Educación Fisica,Laudantium repellendus officia optio voluptate.,Activo
5318,M00005319,Educación SocioEmocional,Iste molestias molestias architecto voluptatum sequi eum.,Inactivo
5319,M00005320,Pensamiento Matemáico,Nam tenetur et similique culpa.,Inactivo
5320,M00005321,Lenguaje y Comunicación,Aliquam et vitae commodi distinctio laudantium.,Activo
5321,M00005322,Pensamiento Matemáico,Beatae quae porro.,Inactivo
5322,M00005323,Educación Fisica,Quisquam eum dolorum laudantium voluptates quas.,Inactivo
5323,M00005324,Educación SocioEmocional,Eius eius tempora veritatis inventore consequuntur.,Inactivo
5324,M00005325,Pensamiento Matemáico,Eos beatae occaecati quo eaque iusto quis.,Inactivo
5325,M00005326,Pensamiento Matemáico,Sit temporibus eius vel.,Inactivo
5326,M00005327,Exploración y Comprensión del mundo natural y social,Repellendus reiciendis non suscipit illum eveniet similique.,Inactivo
5327,M00005328,Lenguaje y Comunicación,Nostrum asperiores molestiae officia eius.,Activo
5328,M00005329,Artes,Reprehenderit sit soluta quae recusandae cumque.,Inactivo
5329,M00005330,Exploración y Comprensión del mundo natural y social,Accusamus tempore veritatis inventore possimus recusandae eos consectetur.,Inactivo
5330,M00005331,Educación Fisica,At accusantium ea voluptatibus iure autem veniam.,Activo
5331,M00005332,Exploración y Comprensión del mundo natural y social,Architecto possimus minima suscipit minus ut quod.,Inactivo
5332,M00005333,Educación Fisica,Voluptates dolores hic ducimus vitae corporis nostrum libero.,Activo
5333,M00005334,Pensamiento Matemáico,Veniam eos voluptatum commodi.,Activo
5334,M00005335,Educación SocioEmocional,Deleniti ipsam cupiditate quas ipsum repudiandae ducimus.,Activo
5335,M00005336,Artes,Reprehenderit expedita quaerat repudiandae.,Activo
5336,M00005337,Lenguaje y Comunicación,Consequatur unde assumenda veritatis.,Inactivo
5337,M00005338,Educación Fisica,Natus laboriosam doloremque quas laborum inventore.,Inactivo
5338,M00005339,Educación Fisica,Iste quis harum vitae.,Inactivo
5339,M00005340,Educación SocioEmocional,Distinctio ea mollitia eveniet ratione reprehenderit.,Inactivo
5340,M00005341,Educación Fisica,Animi architecto ea aut hic.,Activo
5341,M00005342,Pensamiento Matemáico,Cupiditate distinctio consectetur.,Activo
5342,M00005343,Pensamiento Matemáico,Sequi quisquam pariatur veritatis doloribus sapiente.,Activo
5343,M00005344,Educación Fisica,Maxime sunt nesciunt ex quo animi ipsum deleniti.,Inactivo
5344,M00005345,Artes,Voluptate ipsum provident explicabo tenetur reiciendis consectetur.,Inactivo
5345,M00005346,Educación SocioEmocional,Eaque dolor laudantium iste.,Activo
5346,M00005347,Educación SocioEmocional,Hic iusto quis voluptates.,Activo
5347,M00005348,Educación SocioEmocional,Quaerat ratione possimus eaque labore cupiditate et.,Inactivo
5348,M00005349,Educación SocioEmocional,Neque ea nisi nihil.,Inactivo
5349,M00005350,Exploración y Comprensión del mundo natural y social,Placeat rem fugiat voluptatum at libero.,Inactivo
5350,M00005351,Artes,Corporis porro repudiandae ea nihil expedita.,Activo
5351,M00005352,Lenguaje y Comunicación,At eos eius.,Activo
5352,M00005353,Artes,Temporibus suscipit tenetur hic.,Inactivo
5353,M00005354,Educación Fisica,Porro tenetur libero facere dolores.,Activo
5354,M00005355,Pensamiento Matemáico,Explicabo alias hic laborum.,Activo
5355,M00005356,Exploración y Comprensión del mundo natural y social,Odit suscipit minus explicabo voluptate.,Inactivo
5356,M00005357,Educación SocioEmocional,Labore temporibus praesentium aliquid.,Inactivo
5357,M00005358,Pensamiento Matemáico,Assumenda ipsam sunt velit.,Inactivo
5358,M00005359,Educación Fisica,Quasi recusandae rem doloremque molestiae architecto quo adipisci.,Activo
5359,M00005360,Pensamiento Matemáico,Eveniet voluptatum culpa sequi unde.,Inactivo
5360,M00005361,Educación Fisica,Tenetur explicabo soluta impedit atque blanditiis qui.,Inactivo
5361,M00005362,Educación SocioEmocional,Aspernatur pariatur esse occaecati molestias ab quidem.,Activo
5362,M00005363,Lenguaje y Comunicación,Quasi saepe quae officiis reiciendis est ratione consectetur.,Activo
5363,M00005364,Educación SocioEmocional,Provident modi dolores facilis dignissimos nesciunt cumque.,Inactivo
5364,M00005365,Pensamiento Matemáico,Ratione id sint veniam quia quos consequatur.,Activo
5365,M00005366,Educación SocioEmocional,Excepturi veritatis sint eius aliquid nisi aut.,Inactivo
5366,M00005367,Educación SocioEmocional,Est nobis blanditiis rem consequuntur debitis.,Inactivo
5367,M00005368,Lenguaje y Comunicación,Similique cupiditate quibusdam.,Inactivo
5368,M00005369,Exploración y Comprensión del mundo natural y social,Id aspernatur corrupti odit.,Inactivo
5369,M00005370,Educación Fisica,Quisquam esse eius corrupti quia.,Inactivo
5370,M00005371,Educación SocioEmocional,Architecto officia fugit reprehenderit magni temporibus ipsam.,Inactivo
5371,M00005372,Lenguaje y Comunicación,Hic consequuntur doloribus.,Activo
5372,M00005373,Pensamiento Matemáico,Harum saepe vitae facere provident.,Activo
5373,M00005374,Artes,Voluptas fuga eveniet eaque sunt.,Activo
5374,M00005375,Exploración y Comprensión del mundo natural y social,Porro exercitationem quod sequi.,Inactivo
5375,M00005376,Artes,Debitis delectus temporibus consectetur corporis.,Inactivo
5376,M00005377,Artes,Numquam ratione occaecati laboriosam repellendus animi dolorem incidunt.,Activo
5377,M00005378,Artes,Ullam molestias nulla quo voluptate.,Activo
5378,M00005379,Pensamiento Matemáico,Quas ipsa consequuntur maiores vel veritatis.,Activo
5379,M00005380,Exploración y Comprensión del mundo natural y social,Consequuntur quidem soluta ipsam corporis sunt architecto.,Activo
5380,M00005381,Pensamiento Matemáico,Eum maxime dolor sunt vero qui.,Activo
5381,M00005382,Pensamiento Matemáico,Dolor quo consectetur commodi doloremque ratione.,Inactivo
5382,M00005383,Educación SocioEmocional,Dolorum tenetur repellat possimus.,Activo
5383,M00005384,Lenguaje y Comunicación,Eligendi quaerat ullam architecto.,Activo
5384,M00005385,Educación Fisica,Ipsam architecto tempore enim.,Inactivo
5385,M00005386,Educación Fisica,Quae deleniti reiciendis asperiores id maiores quo qui.,Activo
5386,M00005387,Educación SocioEmocional,Velit ex excepturi quos assumenda.,Inactivo
5387,M00005388,Lenguaje y Comunicación,Fugiat doloremque quia maiores.,Activo
5388,M00005389,Educación SocioEmocional,Aut accusamus perspiciatis perferendis provident eligendi.,Inactivo
5389,M00005390,Exploración y Comprensión del mundo natural y social,Saepe assumenda architecto nam dolor.,Inactivo
5390,M00005391,Educación SocioEmocional,Commodi occaecati atque omnis officia minima eum.,Activo
5391,M00005392,Educación Fisica,Deserunt architecto blanditiis numquam numquam temporibus ipsam alias.,Activo
5392,M00005393,Exploración y Comprensión del mundo natural y social,Id fugit consectetur.,Inactivo
5393,M00005394,Artes,Ipsa adipisci magnam vero.,Inactivo
5394,M00005395,Lenguaje y Comunicación,Animi quaerat minus corporis architecto rerum minima at.,Activo
5395,M00005396,Artes,At nesciunt commodi doloremque officiis ab quia.,Activo
5396,M00005397,Educación SocioEmocional,Unde consectetur aut deserunt.,Inactivo
5397,M00005398,Artes,Quam exercitationem earum dolorum veritatis.,Activo
5398,M00005399,Artes,Corrupti illo ullam natus possimus optio.,Activo
5399,M00005400,Exploración y Comprensión del mundo natural y social,Repellendus dicta facilis at sint.,Inactivo
5400,M00005401,Pensamiento Matemáico,Consequatur excepturi officiis voluptatem eum aspernatur quam.,Inactivo
5401,M00005402,Lenguaje y Comunicación,Vitae quisquam dignissimos pariatur saepe odit delectus.,Activo
5402,M00005403,Educación SocioEmocional,Aut nemo ipsam veritatis officia dignissimos excepturi.,Inactivo
5403,M00005404,Artes,Blanditiis animi aut minus.,Inactivo
5404,M00005405,Educación Fisica,Commodi perferendis praesentium voluptatum autem beatae.,Activo
5405,M00005406,Exploración y Comprensión del mundo natural y social,Quaerat consequuntur saepe quas dolorem accusamus laboriosam culpa.,Activo
5406,M00005407,Educación SocioEmocional,Natus quisquam debitis.,Activo
5407,M00005408,Artes,Fugiat quae vero inventore voluptates temporibus nihil.,Activo
5408,M00005409,Educación Fisica,Est porro asperiores aliquid.,Inactivo
5409,M00005410,Pensamiento Matemáico,Consequatur nam nulla nisi cupiditate ducimus.,Inactivo
5410,M00005411,Lenguaje y Comunicación,Provident minus odit.,Activo
5411,M00005412,Educación SocioEmocional,At eos saepe voluptatum.,Inactivo
5412,M00005413,Exploración y Comprensión del mundo natural y social,Odio enim unde dolores odio.,Activo
5413,M00005414,Exploración y Comprensión del mundo natural y social,Soluta nostrum quam illo tenetur.,Activo
5414,M00005415,Pensamiento Matemáico,Recusandae quis tempora.,Activo
5415,M00005416,Artes,Accusantium debitis quisquam facere aperiam dolorum.,Inactivo
5416,M00005417,Pensamiento Matemáico,Omnis voluptatem dolore tempora omnis itaque.,Activo
5417,M00005418,Pensamiento Matemáico,Ipsa velit labore consequatur.,Inactivo
5418,M00005419,Artes,Officia harum nihil deleniti nobis illum.,Activo
5419,M00005420,Lenguaje y Comunicación,Sit iusto eos.,Activo
5420,M00005421,Lenguaje y Comunicación,Voluptatem quisquam ullam tempore.,Activo
5421,M00005422,Artes,At dolore expedita ratione.,Inactivo
5422,M00005423,Pensamiento Matemáico,Reprehenderit iste soluta dolore neque.,Activo
5423,M00005424,Artes,Ducimus ipsum nulla veritatis iusto in minima.,Activo
5424,M00005425,Lenguaje y Comunicación,Voluptas tempora repellat quibusdam consequuntur est corporis.,Inactivo
5425,M00005426,Exploración y Comprensión del mundo natural y social,Accusamus consequuntur accusantium quibusdam incidunt.,Inactivo
5426,M00005427,Pensamiento Matemáico,Aspernatur consectetur sunt quos porro quas.,Activo
5427,M00005428,Artes,Id fuga asperiores id pariatur.,Activo
5428,M00005429,Pensamiento Matemáico,Porro laboriosam ratione rem eveniet eveniet.,Inactivo
5429,M00005430,Lenguaje y Comunicación,Quia exercitationem impedit esse dolorum nesciunt.,Activo
5430,M00005431,Artes,Velit ut deserunt labore delectus consectetur.,Activo
5431,M00005432,Educación Fisica,Error cupiditate quibusdam vel.,Inactivo
5432,M00005433,Lenguaje y Comunicación,Dignissimos pariatur sequi nisi eveniet sequi.,Inactivo
5433,M00005434,Exploración y Comprensión del mundo natural y social,Tempora sapiente cum consectetur error itaque.,Activo
5434,M00005435,Pensamiento Matemáico,Dicta dolore fuga officiis exercitationem nobis.,Inactivo
5435,M00005436,Educación Fisica,Neque dignissimos accusamus nostrum.,Activo
5436,M00005437,Pensamiento Matemáico,Ducimus nulla alias tempora.,Activo
5437,M00005438,Pensamiento Matemáico,Autem voluptatibus animi distinctio non ipsa numquam amet.,Activo
5438,M00005439,Educación SocioEmocional,Numquam aliquam id dignissimos voluptates tenetur magnam eum.,Inactivo
5439,M00005440,Exploración y Comprensión del mundo natural y social,Ut non repellat asperiores recusandae.,Activo
5440,M00005441,Pensamiento Matemáico,Quo nam neque corporis cum voluptatum eaque.,Inactivo
5441,M00005442,Educación SocioEmocional,Iste cum accusamus nisi non molestiae.,Activo
5442,M00005443,Pensamiento Matemáico,Hic at suscipit quasi.,Activo
5443,M00005444,Exploración y Comprensión del mundo natural y social,Est corporis ipsam fuga corrupti eum deserunt.,Activo
5444,M00005445,Pensamiento Matemáico,Cupiditate facilis explicabo aliquid.,Inactivo
5445,M00005446,Artes,Modi magni optio quam dicta laudantium officiis.,Inactivo
5446,M00005447,Pensamiento Matemáico,Adipisci autem molestiae unde consectetur.,Inactivo
5447,M00005448,Pensamiento Matemáico,Accusamus corporis voluptates sequi quas quas possimus voluptate.,Activo
5448,M00005449,Lenguaje y Comunicación,Quisquam hic incidunt accusantium ullam.,Activo
5449,M00005450,Educación SocioEmocional,Unde reiciendis atque maxime.,Inactivo
5450,M00005451,Lenguaje y Comunicación,Doloremque sed quisquam eos qui labore natus reprehenderit.,Inactivo
5451,M00005452,Artes,Illum eaque debitis magni minus culpa rerum.,Inactivo
5452,M00005453,Exploración y Comprensión del mundo natural y social,Dolorum corrupti dolores.,Inactivo
5453,M00005454,Exploración y Comprensión del mundo natural y social,Magni officia eligendi.,Activo
5454,M00005455,Pensamiento Matemáico,Tempora hic dolorem minus iste temporibus.,Activo
5455,M00005456,Lenguaje y Comunicación,Minima officiis reiciendis voluptas.,Activo
5456,M00005457,Pensamiento Matemáico,Soluta quis consequatur placeat qui laboriosam.,Inactivo
5457,M00005458,Pensamiento Matemáico,Magnam laboriosam quasi id non incidunt.,Inactivo
5458,M00005459,Educación Fisica,Deleniti veniam dolorum quod ad maiores.,Inactivo
5459,M00005460,Artes,Praesentium doloremque provident quo sed cum dolor exercitationem.,Inactivo
5460,M00005461,Educación Fisica,Maxime rem amet fugiat.,Activo
5461,M00005462,Lenguaje y Comunicación,Dolore culpa delectus nesciunt quia facere.,Inactivo
5462,M00005463,Pensamiento Matemáico,Fugit enim iure saepe at ratione.,Activo
5463,M00005464,Educación SocioEmocional,Commodi dolor quis excepturi ea.,Activo
5464,M00005465,Educación Fisica,Earum harum earum quisquam mollitia consequatur rem.,Inactivo
5465,M00005466,Pensamiento Matemáico,Unde et sit nisi.,Activo
5466,M00005467,Pensamiento Matemáico,Impedit corrupti iste iusto.,Inactivo
5467,M00005468,Educación Fisica,Suscipit beatae maxime est modi sapiente.,Activo
5468,M00005469,Educación SocioEmocional,Aliquam occaecati magni saepe.,Inactivo
5469,M00005470,Educación SocioEmocional,Provident earum perspiciatis earum.,Inactivo
5470,M00005471,Artes,Pariatur repellat harum architecto.,Activo
5471,M00005472,Artes,Magnam voluptatem doloribus placeat necessitatibus doloremque vel error.,Activo
5472,M00005473,Educación SocioEmocional,Aliquid aut aperiam saepe quo facere.,Inactivo
5473,M00005474,Educación Fisica,Quam ex ducimus fuga corrupti error iste rerum.,Inactivo
5474,M00005475,Pensamiento Matemáico,Qui cumque quae quos magni.,Activo
5475,M00005476,Educación SocioEmocional,Voluptatem quas adipisci possimus est distinctio.,Activo
5476,M00005477,Lenguaje y Comunicación,Nobis recusandae cupiditate inventore sunt corporis laboriosam.,Inactivo
5477,M00005478,Artes,Animi aliquam ea ipsam consequuntur.,Activo
5478,M00005479,Educación Fisica,Odio totam assumenda ab.,Inactivo
5479,M00005480,Educación SocioEmocional,Reprehenderit cupiditate voluptate asperiores occaecati modi.,Inactivo
5480,M00005481,Pensamiento Matemáico,Dolore suscipit quam natus aut doloremque.,Inactivo
5481,M00005482,Artes,Voluptatum expedita nobis quae.,Inactivo
5482,M00005483,Artes,Illum corrupti repellat necessitatibus nobis.,Activo
5483,M00005484,Pensamiento Matemáico,Amet eius quia facere molestiae placeat velit.,Activo
5484,M00005485,Lenguaje y Comunicación,Voluptatem accusamus voluptatibus ullam aspernatur nulla.,Activo
5485,M00005486,Lenguaje y Comunicación,Cum vero rerum.,Inactivo
5486,M00005487,Pensamiento Matemáico,Adipisci fugiat exercitationem ad rerum nemo aliquam.,Activo
5487,M00005488,Artes,Officiis eaque assumenda consectetur rem.,Inactivo
5488,M00005489,Exploración y Comprensión del mundo natural y social,Facere labore suscipit nulla.,Inactivo
5489,M00005490,Exploración y Comprensión del mundo natural y social,Tenetur repellendus reiciendis distinctio at eius.,Activo
5490,M00005491,Pensamiento Matemáico,Nostrum repellendus rerum dolorum ipsum illo eius.,Activo
5491,M00005492,Educación Fisica,Impedit placeat laudantium repudiandae voluptatibus.,Activo
5492,M00005493,Artes,Eaque ipsum architecto corrupti rem quaerat laudantium.,Inactivo
5493,M00005494,Exploración y Comprensión del mundo natural y social,Nihil corrupti sequi numquam ullam magni.,Activo
5494,M00005495,Educación SocioEmocional,Natus cupiditate temporibus nam ut.,Inactivo
5495,M00005496,Pensamiento Matemáico,Praesentium repellendus itaque.,Inactivo
5496,M00005497,Pensamiento Matemáico,Optio corrupti iure mollitia tempore illo.,Inactivo
5497,M00005498,Educación Fisica,Dolorum id fuga a dolorem.,Inactivo
5498,M00005499,Educación SocioEmocional,Repellendus incidunt facilis voluptatem suscipit voluptatibus alias aperiam.,Activo
5499,M00005500,Educación SocioEmocional,Omnis similique in.,Inactivo
5500,M00005501,Artes,Nisi illum molestiae architecto quo.,Inactivo
5501,M00005502,Lenguaje y Comunicación,Accusamus officiis consequuntur minus.,Inactivo
5502,M00005503,Pensamiento Matemáico,Illo reiciendis dolorum dolorem incidunt deserunt consequatur.,Inactivo
5503,M00005504,Exploración y Comprensión del mundo natural y social,Dolorem ducimus vero odit sequi.,Inactivo
5504,M00005505,Lenguaje y Comunicación,Ab accusamus ipsa eligendi rerum quisquam optio.,Activo
5505,M00005506,Educación Fisica,Qui nemo distinctio distinctio blanditiis excepturi quae.,Inactivo
5506,M00005507,Exploración y Comprensión del mundo natural y social,Cupiditate rerum velit nihil.,Inactivo
5507,M00005508,Pensamiento Matemáico,Dicta autem pariatur error aliquid.,Inactivo
5508,M00005509,Pensamiento Matemáico,Quos praesentium enim similique doloribus eveniet molestiae ut.,Activo
5509,M00005510,Artes,Dicta voluptas adipisci aut.,Activo
5510,M00005511,Exploración y Comprensión del mundo natural y social,Temporibus in quasi reprehenderit.,Inactivo
5511,M00005512,Educación Fisica,Ex sed ipsa atque ullam repellat natus.,Activo
5512,M00005513,Educación Fisica,Sint dolore aspernatur accusamus ad consectetur.,Activo
5513,M00005514,Artes,Voluptate suscipit consectetur dolorum debitis dolorum totam minima.,Inactivo
5514,M00005515,Lenguaje y Comunicación,Omnis at temporibus praesentium consectetur.,Activo
5515,M00005516,Pensamiento Matemáico,Consequatur eligendi error nostrum necessitatibus illum odio nam.,Inactivo
5516,M00005517,Lenguaje y Comunicación,Deserunt eos cupiditate nostrum.,Inactivo
5517,M00005518,Exploración y Comprensión del mundo natural y social,Vero temporibus atque exercitationem ab voluptate recusandae fuga.,Activo
5518,M00005519,Exploración y Comprensión del mundo natural y social,Soluta officiis error at assumenda dicta officia vel.,Activo
5519,M00005520,Artes,Repellat quaerat ducimus et corrupti possimus dignissimos.,Activo
5520,M00005521,Educación SocioEmocional,Sit temporibus architecto officiis dolor cum labore.,Inactivo
5521,M00005522,Educación Fisica,Magni nostrum ipsam ut provident distinctio.,Activo
5522,M00005523,Exploración y Comprensión del mundo natural y social,Vel beatae reprehenderit nobis esse voluptas necessitatibus.,Activo
5523,M00005524,Lenguaje y Comunicación,Ad quibusdam omnis earum quam provident ad qui.,Inactivo
5524,M00005525,Pensamiento Matemáico,Sequi harum aspernatur aliquam amet delectus.,Inactivo
5525,M00005526,Educación Fisica,Earum possimus pariatur est vero placeat.,Activo
5526,M00005527,Educación SocioEmocional,Earum consequuntur numquam alias occaecati voluptates.,Inactivo
5527,M00005528,Lenguaje y Comunicación,Sint ut eum repellat animi cum quia culpa.,Activo
5528,M00005529,Artes,Nulla corrupti quasi.,Inactivo
5529,M00005530,Educación Fisica,Hic veniam incidunt optio aut quibusdam quibusdam.,Inactivo
5530,M00005531,Educación Fisica,Rerum illo assumenda velit reprehenderit omnis alias beatae.,Activo
5531,M00005532,Educación Fisica,Pariatur earum perferendis.,Activo
5532,M00005533,Artes,Saepe natus voluptatem quidem excepturi occaecati sit.,Activo
